"table","section","group_label","characteristic","gender","metric","value"
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Males","Used SPF30 or higher sunscreen on most days",706.9
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Males","Did not use SPF30 or higher sunscreen on most days",1544.8
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Males","Total",2261.9
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Females","Used SPF30 or higher sunscreen on most days",1611.2
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Females","Did not use SPF30 or higher sunscreen on most days",1447.4
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Females","Total",3064.1
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Persons","Used SPF30 or higher sunscreen on most days",2320.6
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Persons","Did not use SPF30 or higher sunscreen on most days",3002.6
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Just burn and not tan","Persons","Total",5321
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Males","Used SPF30 or higher sunscreen on most days",962.9
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Males","Did not use SPF30 or higher sunscreen on most days",2385
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Males","Total",3364.5
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Females","Used SPF30 or higher sunscreen on most days",1994.2
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Females","Did not use SPF30 or higher sunscreen on most days",1742.1
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Females","Total",3762.8
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Persons","Used SPF30 or higher sunscreen on most days",2959.5
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Persons","Did not use SPF30 or higher sunscreen on most days",4131.8
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Burn first then tan afterwards","Persons","Total",7119.9
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Males","Used SPF30 or higher sunscreen on most days",967.9
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Males","Did not use SPF30 or higher sunscreen on most days",2571.2
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Males","Total",3541.1
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Females","Used SPF30 or higher sunscreen on most days",1312.1
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Females","Did not use SPF30 or higher sunscreen on most days",1614.9
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Females","Total",2942
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Persons","Used SPF30 or higher sunscreen on most days",2260.9
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Persons","Did not use SPF30 or higher sunscreen on most days",4198.1
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Not burn at all, just tan","Persons","Total",6480.3
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Males","Used SPF30 or higher sunscreen on most days",264.3
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Males","Did not use SPF30 or higher sunscreen on most days",1212.8
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Males","Total",1462.8
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Females","Used SPF30 or higher sunscreen on most days",444.4
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Females","Did not use SPF30 or higher sunscreen on most days",712.7
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Females","Total",1154.2
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Persons","Used SPF30 or higher sunscreen on most days",697.2
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Persons","Did not use SPF30 or higher sunscreen on most days",1914.5
"Table 1a","Estimate ('000)","Skin sensitivity to sun exposure for 30 minutes","Nothing would happen","Persons","Total",2624.8
"Table 1a","Estimate ('000)","Age group","15–24 years","Males","Used SPF30 or higher sunscreen on most days",467.1
"Table 1a","Estimate ('000)","Age group","15–24 years","Males","Did not use SPF30 or higher sunscreen on most days",1222.6
"Table 1a","Estimate ('000)","Age group","15–24 years","Males","Total",1716.1
"Table 1a","Estimate ('000)","Age group","15–24 years","Females","Used SPF30 or higher sunscreen on most days",804.7
"Table 1a","Estimate ('000)","Age group","15–24 years","Females","Did not use SPF30 or higher sunscreen on most days",761.7
"Table 1a","Estimate ('000)","Age group","15–24 years","Females","Total",1617.2
"Table 1a","Estimate ('000)","Age group","15–24 years","Persons","Used SPF30 or higher sunscreen on most days",1288.6
"Table 1a","Estimate ('000)","Age group","15–24 years","Persons","Did not use SPF30 or higher sunscreen on most days",2002.5
"Table 1a","Estimate ('000)","Age group","15–24 years","Persons","Total",3311
"Table 1a","Estimate ('000)","Age group","25–34 years","Males","Used SPF30 or higher sunscreen on most days",581.1
"Table 1a","Estimate ('000)","Age group","25–34 years","Males","Did not use SPF30 or higher sunscreen on most days",1366.3
"Table 1a","Estimate ('000)","Age group","25–34 years","Males","Total",1941.6
"Table 1a","Estimate ('000)","Age group","25–34 years","Females","Used SPF30 or higher sunscreen on most days",1160.6
"Table 1a","Estimate ('000)","Age group","25–34 years","Females","Did not use SPF30 or higher sunscreen on most days",805.1
"Table 1a","Estimate ('000)","Age group","25–34 years","Females","Total",1972.3
"Table 1a","Estimate ('000)","Age group","25–34 years","Persons","Used SPF30 or higher sunscreen on most days",1736.9
"Table 1a","Estimate ('000)","Age group","25–34 years","Persons","Did not use SPF30 or higher sunscreen on most days",2171.2
"Table 1a","Estimate ('000)","Age group","25–34 years","Persons","Total",3923.2
"Table 1a","Estimate ('000)","Age group","35–44 years","Males","Used SPF30 or higher sunscreen on most days",584.6
"Table 1a","Estimate ('000)","Age group","35–44 years","Males","Did not use SPF30 or higher sunscreen on most days",1262.4
"Table 1a","Estimate ('000)","Age group","35–44 years","Males","Total",1836.5
"Table 1a","Estimate ('000)","Age group","35–44 years","Females","Used SPF30 or higher sunscreen on most days",1138.1
"Table 1a","Estimate ('000)","Age group","35–44 years","Females","Did not use SPF30 or higher sunscreen on most days",765.5
"Table 1a","Estimate ('000)","Age group","35–44 years","Females","Total",1897.1
"Table 1a","Estimate ('000)","Age group","35–44 years","Persons","Used SPF30 or higher sunscreen on most days",1704.2
"Table 1a","Estimate ('000)","Age group","35–44 years","Persons","Did not use SPF30 or higher sunscreen on most days",2020.2
"Table 1a","Estimate ('000)","Age group","35–44 years","Persons","Total",3747.4
"Table 1a","Estimate ('000)","Age group","45–54 years","Males","Used SPF30 or higher sunscreen on most days",425
"Table 1a","Estimate ('000)","Age group","45–54 years","Males","Did not use SPF30 or higher sunscreen on most days",1181.8
"Table 1a","Estimate ('000)","Age group","45–54 years","Males","Total",1607.3
"Table 1a","Estimate ('000)","Age group","45–54 years","Females","Used SPF30 or higher sunscreen on most days",810.7
"Table 1a","Estimate ('000)","Age group","45–54 years","Females","Did not use SPF30 or higher sunscreen on most days",849.3
"Table 1a","Estimate ('000)","Age group","45–54 years","Females","Total",1671
"Table 1a","Estimate ('000)","Age group","45–54 years","Persons","Used SPF30 or higher sunscreen on most days",1247
"Table 1a","Estimate ('000)","Age group","45–54 years","Persons","Did not use SPF30 or higher sunscreen on most days",2025.8
"Table 1a","Estimate ('000)","Age group","45–54 years","Persons","Total",3264.8
"Table 1a","Estimate ('000)","Age group","55–64 years","Males","Used SPF30 or higher sunscreen on most days",371.7
"Table 1a","Estimate ('000)","Age group","55–64 years","Males","Did not use SPF30 or higher sunscreen on most days",1097.4
"Table 1a","Estimate ('000)","Age group","55–64 years","Males","Total",1479.8
"Table 1a","Estimate ('000)","Age group","55–64 years","Females","Used SPF30 or higher sunscreen on most days",707.3
"Table 1a","Estimate ('000)","Age group","55–64 years","Females","Did not use SPF30 or higher sunscreen on most days",829.3
"Table 1a","Estimate ('000)","Age group","55–64 years","Females","Total",1544.8
"Table 1a","Estimate ('000)","Age group","55–64 years","Persons","Used SPF30 or higher sunscreen on most days",1083.7
"Table 1a","Estimate ('000)","Age group","55–64 years","Persons","Did not use SPF30 or higher sunscreen on most days",1928.8
"Table 1a","Estimate ('000)","Age group","55–64 years","Persons","Total",3020.2
"Table 1a","Estimate ('000)","Age group","65 years and over","Males","Used SPF30 or higher sunscreen on most days",437.8
"Table 1a","Estimate ('000)","Age group","65 years and over","Males","Did not use SPF30 or higher sunscreen on most days",1608.5
"Table 1a","Estimate ('000)","Age group","65 years and over","Males","Total",2068.2
"Table 1a","Estimate ('000)","Age group","65 years and over","Females","Used SPF30 or higher sunscreen on most days",759.1
"Table 1a","Estimate ('000)","Age group","65 years and over","Females","Did not use SPF30 or higher sunscreen on most days",1554.7
"Table 1a","Estimate ('000)","Age group","65 years and over","Females","Total",2319
"Table 1a","Estimate ('000)","Age group","65 years and over","Persons","Used SPF30 or higher sunscreen on most days",1205.4
"Table 1a","Estimate ('000)","Age group","65 years and over","Persons","Did not use SPF30 or higher sunscreen on most days",3163.8
"Table 1a","Estimate ('000)","Age group","65 years and over","Persons","Total",4394.4
